frame,abstime,reltime,Function 3 [C]
2767,2024-03-11 22:39:02.705000,85.913000,1.436257e+02
2768,2024-03-11 22:39:03.705000,86.913000,1.433154e+02
2769,2024-03-11 22:39:04.706000,87.914000,1.428802e+02
2770,2024-03-11 22:39:05.707000,88.915000,1.426312e+02
2771,2024-03-11 22:39:06.707000,89.915000,1.421325e+02
2772,2024-03-11 22:39:07.708000,90.916000,1.414449e+02
2773,2024-03-11 22:39:08.710000,91.918000,1.407554e+02
2774,2024-03-11 22:39:09.709000,92.917000,1.394333e+02
2775,2024-03-11 22:39:10.711000,93.919000,1.398118e+02
2776,2024-03-11 22:39:11.711000,94.919000,1.384844e+02
2777,2024-03-11 22:39:12.713000,95.921000,1.381037e+02
2778,2024-03-11 22:39:13.713000,96.921000,1.381672e+02
2779,2024-03-11 22:39:14.715000,97.923000,1.370217e+02
2780,2024-03-11 22:39:15.715000,98.923000,1.360628e+02
2781,2024-03-11 22:39:16.717000,99.925000,1.361268e+02
2782,2024-03-11 22:39:17.718000,100.926000,1.354855e+02
2783,2024-03-11 22:39:18.718000,101.926000,1.349711e+02
2784,2024-03-11 22:39:19.719000,102.927000,1.347779e+02
2785,2024-03-11 22:39:20.720000,103.928000,1.340681e+02
2786,2024-03-11 22:39:21.721000,104.929000,1.336799e+02
2787,2024-03-11 22:39:22.722000,105.930000,1.329017e+02
2788,2024-03-11 22:39:23.722000,106.930000,1.312715e+02
2789,2024-03-11 22:39:24.723000,107.931000,1.313369e+02
2790,2024-03-11 22:39:25.724000,108.932000,1.312715e+02
2791,2024-03-11 22:39:26.725000,109.933000,1.301561e+02
2792,2024-03-11 22:39:27.726000,110.934000,1.302218e+02
2793,2024-03-11 22:39:28.727000,111.935000,1.296292e+02
2794,2024-03-11 22:39:29.728000,112.936000,1.297610e+02
2795,2024-03-11 22:39:30.696000,113.904000,1.298269e+02
2796,2024-03-11 22:39:31.695000,114.903000,1.291671e+02
2797,2024-03-11 22:39:32.697000,115.905000,1.286379e+02
2798,2024-03-11 22:39:33.698000,116.906000,1.285054e+02
2799,2024-03-11 22:39:34.699000,117.907000,1.282401e+02
2800,2024-03-11 22:39:35.700000,118.908000,1.263069e+02
2801,2024-03-11 22:39:36.701000,119.909000,1.264408e+02
2802,2024-03-11 22:39:37.701000,120.909000,1.264408e+02
2803,2024-03-11 22:39:38.702000,121.910000,1.263739e+02
2804,2024-03-11 22:39:39.703000,122.911000,1.262400e+02
2805,2024-03-11 22:39:40.704000,123.912000,1.253674e+02
2806,2024-03-11 22:39:41.705000,124.913000,1.254347e+02
2807,2024-03-11 22:39:41.969000,125.177000,1.228641e+02
2808,2024-03-11 22:39:43.674000,126.882000,1.239503e+02
2809,2024-03-11 22:39:44.675000,127.883000,1.231362e+02
2810,2024-03-11 22:39:45.676000,128.884000,1.227961e+02
2811,2024-03-11 22:39:46.677000,129.885000,1.223189e+02
2812,2024-03-11 22:39:47.678000,130.886000,1.225235e+02
2813,2024-03-11 22:39:48.679000,131.887000,1.220458e+02
2814,2024-03-11 22:39:49.680000,132.888000,1.219091e+02
2815,2024-03-11 22:39:50.682000,133.890000,1.212242e+02
2816,2024-03-11 22:39:51.681000,134.889000,1.209496e+02
2817,2024-03-11 22:39:52.682000,135.890000,1.210183e+02
2818,2024-03-11 22:39:53.683000,136.891000,1.203304e+02
2819,2024-03-11 22:39:54.684000,137.892000,1.204682e+02
2820,2024-03-11 22:39:55.685000,138.893000,1.192250e+02
2821,2024-03-11 22:39:56.685000,139.893000,1.191558e+02
2822,2024-03-11 22:39:57.686000,140.894000,1.197785e+02
2823,2024-03-11 22:39:58.686000,141.894000,1.199166e+02
2824,2024-03-11 22:39:59.688000,142.896000,1.199166e+02
2825,2024-03-11 22:40:00.690000,143.898000,1.197785e+02
2826,2024-03-11 22:40:01.690000,144.898000,1.222507e+02
2827,2024-03-11 22:40:02.657000,145.865000,1.212928e+02
2828,2024-03-11 22:40:03.658000,146.866000,1.260389e+02
2829,2024-03-11 22:40:04.659000,147.867000,1.250982e+02
2830,2024-03-11 22:40:05.661000,148.869000,1.298269e+02
2831,2024-03-11 22:40:06.661000,149.869000,1.214299e+02
2832,2024-03-11 22:40:07.663000,150.871000,1.249635e+02
2833,2024-03-11 22:40:08.663000,151.871000,1.269087e+02
2834,2024-03-11 22:40:09.664000,152.872000,1.213614e+02
2835,2024-03-11 22:40:10.664000,153.872000,1.216354e+02
2836,2024-03-11 22:40:11.665000,154.873000,1.214299e+02
2837,2024-03-11 22:40:12.667000,155.875000,1.212242e+02
2838,2024-03-11 22:40:13.668000,156.876000,1.202615e+02
2839,2024-03-11 22:40:14.668000,157.876000,1.197785e+02
2840,2024-03-11 22:40:15.668000,158.876000,1.186006e+02
2841,2024-03-11 22:40:16.670000,159.878000,1.176254e+02
2842,2024-03-11 22:40:17.672000,160.880000,1.168559e+02
2843,2024-03-11 22:40:18.673000,161.881000,1.153079e+02
2844,2024-03-11 22:40:19.672000,162.880000,1.148836e+02
2845,2024-03-11 22:40:20.674000,163.882000,1.144584e+02
2846,2024-03-11 22:40:21.674000,164.882000,1.142455e+02
2847,2024-03-11 22:40:22.676000,165.884000,1.141744e+02
2848,2024-03-11 22:40:23.676000,166.884000,1.141034e+02
2849,2024-03-11 22:40:24.677000,167.885000,1.143875e+02
2850,2024-03-11 22:40:25.677000,168.885000,1.143165e+02
2851,2024-03-11 22:40:26.678000,169.886000,1.143165e+02
2852,2024-03-11 22:40:27.679000,170.887000,1.143165e+02
2853,2024-03-11 22:40:27.910000,171.118000,1.145293e+02
2854,2024-03-11 22:40:29.649000,172.857000,1.143875e+02
2855,2024-03-11 22:40:30.649000,173.857000,1.147420e+02
2856,2024-03-11 22:40:31.651000,174.859000,1.136765e+02
2857,2024-03-11 22:40:32.651000,175.859000,1.135340e+02
2858,2024-03-11 22:40:33.620000,176.828000,1.131773e+02
2859,2024-03-11 22:40:34.620000,177.828000,1.124619e+02
2860,2024-03-11 22:40:35.621000,178.829000,1.122467e+02
2861,2024-03-11 22:40:36.623000,179.831000,1.119595e+02
2862,2024-03-11 22:40:37.623000,180.831000,1.118877e+02
2863,2024-03-11 22:40:38.624000,181.832000,1.110953e+02
2864,2024-03-11 22:40:39.624000,182.832000,1.115279e+02
2865,2024-03-11 22:40:40.625000,183.833000,1.131059e+02
2866,2024-03-11 22:40:41.627000,184.835000,1.156608e+02
2867,2024-03-11 22:40:42.626000,185.834000,1.160130e+02
2868,2024-03-11 22:40:43.628000,186.836000,1.161538e+02
2869,2024-03-11 22:40:44.629000,187.837000,1.175556e+02
2870,2024-03-11 22:40:45.630000,188.838000,1.264408e+02
2871,2024-03-11 22:40:46.631000,189.839000,8.837258e+01
2872,2024-03-11 22:40:47.631000,190.839000,8.861852e+01
2873,2024-03-11 22:40:48.633000,191.841000,9.210392e+01
2874,2024-03-11 22:40:49.635000,192.843000,9.266449e+01
2875,2024-03-11 22:40:50.635000,193.843000,9.282431e+01
2876,2024-03-11 22:40:51.636000,194.844000,9.298399e+01
2877,2024-03-11 22:40:52.636000,195.844000,1.952817e+02
